UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,3702,2603702,Canhotinho
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,8,Vale do Ipojuca,3801,2603801,Capoeiras
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,3900,2603900,Carnaíba
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,2,São Francisco Pernambucano,6,Itaparica,3926,2603926,Carnaubeira da Penha
26,Pernambuco,2601,Recife,260006,Carpina,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,4007,2604007,Carpina
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,4106,2604106,Caruaru
26,Pernambuco,2601,Recife,260008,Surubim,3,Agreste Pernambucano,9,Alto Capibaribe,4155,2604155,Casinhas
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,4205,2604205,Catende
26,Pernambuco,2604,Petrolina,260017,Salgueiro,1,Sertão Pernambucano,2,Salgueiro,4304,2604304,Cedro
26,Pernambuco,2601,Recife,260005,Vitória de Santo Antão,4,Mata Pernambucana,14,Vitória de Santo Antão,4403,2604403,Chã de Alegria
26,Pernambuco,2602,Caruaru,260009,Caruaru,4,Mata Pernambucana,14,Vitória de Santo Antão,4502,2604502,Chã Grande
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,4601,2604601,Condado
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,4700,2604700,Correntes
26,Pernambuco,2601,Recife,260018,Escada - Ribeirão,4,Mata Pernambucana,15,Mata Meridional Pernambucana,4809,2604809,Cortês
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,10,Médio Capibaribe,4908,2604908,Cumaru
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,5004,2605004,Cupira
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,5103,2605103,Custódia
26,Pernambuco,2604,Petrolina,260015,Petrolina,2,São Francisco Pernambucano,5,Petrolina,5152,2605152,Dormentes
26,Pernambuco,2601,Recife,260018,Escada - Ribeirão,4,Mata Pernambucana,15,Mata Meridional Pernambucana,5202,2605202,Escada
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,5301,2605301,Exu
26,Pernambuco,2601,Recife,260004,Limoeiro,3,Agreste Pernambucano,10,Médio Capibaribe,5400,2605400,Feira Nova
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,19,Fernando de Noronha,5459,2605459,Fernando de Noronha
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,5509,2605509,Ferreiros
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,1,Sertão Pernambucano,3,Pajeú,5608,2605608,Flores
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,2,São Francisco Pernambucano,6,Itaparica,5707,2605707,Floresta
26,Pernambuco,2601,Recife,260008,Surubim,3,Agreste Pernambucano,9,Alto Capibaribe,5806,2605806,Frei Miguelinho
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,5905,2605905,Gameleira
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,6002,2606002,Garanhuns
26,Pernambuco,2601,Recife,260005,Vitória de Santo Antão,4,Mata Pernambucana,14,Vitória de Santo Antão,6101,2606101,Glória do Goitá
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,6200,2606200,Goiana
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,6309,2606309,Granito
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,6408,2606408,Gravatá
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,6507,2606507,Iati
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,6606,2606606,Ibimirim
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,6705,2606705,Ibirajuba
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,16,Itamaracá,6804,2606804,Igarassu
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,6903,2606903,Iguaracy
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,16,Itamaracá,7604,2607604,Ilha de Itamaracá
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,7000,2607000,Inajá
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,7109,2607109,Ingazeira
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,18,Suape,7208,2607208,Ipojuca
26,Pernambuco,2604,Petrolina,260016,Araripina,1,Sertão Pernambucano,1,Araripina,7307,2607307,Ipubi
26,Pernambuco,2604,Petrolina,260017,Salgueiro,2,São Francisco Pernambucano,6,Itaparica,7406,2607406,Itacuruba
26,Pernambuco,2602,Caruaru,260011,Arcoverde,3,Agreste Pernambucano,7,Vale do Ipanema,7505,2607505,Itaíba
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,7653,2607653,Itambé
26,Pernambuco,2603,Serra Talhada,260014,Afogados da Ingazeira,1,Sertão Pernambucano,3,Pajeú,7703,2607703,Itapetim
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,16,Itamaracá,7752,2607752,Itapissuma
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,7802,2607802,Itaquitinga
26,Pernambuco,2601,Recife,260001,Recife,5,Metropolitana de Recife,17,Recife,7901,2607901,Jaboatão dos Guararapes
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,7950,2607950,Jaqueira
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,8,Vale do Ipojuca,8008,2608008,Jataúba
26,Pernambuco,2603,Serra Talhada,260013,Serra Talhada,2,São Francisco Pernambucano,6,Itaparica,8057,2608057,Jatobá
26,Pernambuco,2601,Recife,260004,Limoeiro,3,Agreste Pernambucano,10,Médio Capibaribe,8107,2608107,João Alfredo
26,Pernambuco,2601,Recife,260003,Palmares,4,Mata Pernambucana,15,Mata Meridional Pernambucana,8206,2608206,Joaquim Nabuco
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,8255,2608255,Jucati
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,8305,2608305,Jupi
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,8404,2608404,Jurema
26,Pernambuco,2601,Recife,260006,Carpina,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,8503,2608503,Lagoa de Itaenga
26,Pernambuco,2601,Recife,260006,Carpina,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,8453,2608453,Lagoa do Carro
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,8602,2608602,Lagoa do Ouro
26,Pernambuco,2602,Caruaru,260009,Caruaru,3,Agreste Pernambucano,12,Brejo Pernambucano,8701,2608701,Lagoa dos Gatos
26,Pernambuco,2604,Petrolina,260015,Petrolina,2,São Francisco Pernambucano,5,Petrolina,8750,2608750,Lagoa Grande
26,Pernambuco,2602,Caruaru,260010,Garanhuns,3,Agreste Pernambucano,11,Garanhuns,8800,2608800,Lajedo
26,Pernambuco,2601,Recife,260004,Limoeiro,3,Agreste Pernambucano,10,Médio Capibaribe,8909,2608909,Limoeiro
26,Pernambuco,2601,Recife,260002,Goiana ¿ Timbaúba,4,Mata Pernambucana,13,Mata Setentrional Pernambucana,9006,2609006,Macaparana
26,Pernambuco,2601,Recife,260004,Limoeiro,3,Agreste Pernambucano,10,Médio Capibaribe,9105,2609105,Machados
26,Pernambuco,2602,Caruaru,260011,Arcoverde,1,Sertão Pernambucano,4,Sertão do Moxotó,9154,2609154,Manari
